locality_name,city,zone,metro_status,nearest_metro_station,tech_park_proximity,nearest_tech_park,tech_park_km_approx,nearest_metro_line,nearest_metro_km,metro_access_sample,metro_access_verified,metro_flag_agrees,nearest_metro_station_today,nearest_metro_km_today,tech_park_band,it_park_count_5km,nearest_rail_station,rail_station_km,airport_km,school_count_2km,hospital_count_2km,retail_count_2km,latitude,longitude,distance_to_cbd_km,geo_district,geo_state,n_listings_2022,first_posted_on,last_posted_on,geocode_confidence,geocode_match_name,geocode_feature_type,geocode_query,reference_year,metro_status_asof,address
Central Area,Mumbai,east,none,Saki Naka,yes,Hiranandani Business Park Powai,1.99,blue,4.0,no,no,True,Aarey JVLR,3.49,0-3km,14.0,Kanjur Marg,1.16,7.0,38.0,21.0,20.0,19.1264711,72.9172833,22.57,S Ward,Maharashtra,2,5/14/2022,6/17/2022,low,Estate Office (Central Area),building/office,Central Area,2022,4/13/2022,Central Area
Central Avenue Road,Mumbai,south,none,Ghatkopar L1,no,Bandra Kurla Complex,8.64,blue,9.1,no,no,True,Deonar,4.42,6km+,0.0,Mysore Colony,3.55,10.94,0.0,0.0,0.0,19.0051071,72.9152702,11.18,M/E Ward,Maharashtra,2,5/31/2022,7/6/2022,low,Central Avenue New Mandala Road,highway/tertiary,Central Avenue Road,2022,4/13/2022,Central Avenue Road
Century Bazaar,Mumbai,unknown,unknown,unknown,unknown,unknown,,unknown,,unknown,unknown,,unknown,,unknown,,unknown,,,,,,,,,,,1,7/7/2022,7/7/2022,none,,,,2022,4/13/2022,Century Bazaar
Chakala,Mumbai,east,operational,Western Express Highway,yes,SEEPZ Andheri East,0.8,blue,0.57,yes,yes,True,Western Express Highway,0.57,0-3km,16.0,Andheri,1.69,2.8,29.0,68.0,3.0,19.1152873,72.8618085,19.82,K/E Ward,Maharashtra,2,6/28/2022,7/1/2022,high,Chakala,place/neighbourhood,Chakala,2022,4/13/2022,Chakala
chakala andheri east,Mumbai,south,operational,Western Express Highway,yes,SEEPZ Andheri East,1.01,blue,0.89,yes,yes,True,Gundavali,0.82,0-3km,16.0,Andheri,1.87,2.06,28.0,75.0,5.0,19.1084739,72.8597027,19.04,K/E Ward,Maharashtra,1,4/27/2022,4/27/2022,high,Chakala Village,place/neighbourhood,chakala andheri east,2022,4/13/2022,chakala andheri east
Chakala Cigarette Factory,Mumbai,south,operational,Western Express Highway,yes,SEEPZ Andheri East,1.06,blue,0.98,yes,yes,True,Gundavali,0.88,0-3km,14.0,Vile Parle,1.74,1.96,26.0,74.0,5.0,19.107299,72.8585798,18.89,K/E Ward,Maharashtra,1,5/1/2022,5/1/2022,low,,building/yes,Chakala Cigarette Factory,2022,4/13/2022,Chakala Cigarette Factory
Yari Road,Mumbai,west,operational,Versova,yes,Nirlon Knowledge Park,4.85,blue,1.38,yes,yes,True,Versova,1.38,3-6km,6.0,Jogeshwari (Western Line),4.01,7.61,13.0,39.0,8.0,19.1377216,72.8108361,22.27,K/W Ward,Maharashtra,1,6/2/2022,6/2/2022,medium,Kalyan Complex Riddhi Siddhi Vriddhi,landuse/residential,Chanchal Kalyan Complex,2022,4/13/2022,"Chanchal Kalyan Complex, Yari Road"
Chandivali,Mumbai,east,operational,Saki Naka,yes,Hiranandani Business Park Powai,1.44,blue,0.93,yes,yes,True,Saki Naka,0.93,0-3km,19.0,Ghatkopar,2.98,3.94,14.0,36.0,13.0,19.1091482,72.8945793,19.94,L Ward,Maharashtra,8,5/11/2022,7/9/2022,high,Chandivali,place/suburb,Chandivali,2022,4/13/2022,Chandivali
Charkop,Mumbai,north,operational,Kandivali (West),yes,Mindspace Malad,3.72,yellow,1.2,yes,yes,True,Kandivali (West),1.2,3-6km,0.0,Kandivali,2.94,14.32,17.0,32.0,8.0,19.2141193,72.8258652,30.63,R/S Ward,Maharashtra,3,5/25/2022,7/6/2022,high,Charkop,place/suburb,Charkop,2022,4/13/2022,Charkop
Charkop Sector 6,Mumbai,north,operational,Shimpoli,yes,Mindspace Malad,4.6,yellow,0.81,yes,yes,True,Shimpoli,0.81,3-6km,0.0,Borivali,2.55,15.28,21.0,45.0,8.0,19.224787,72.8335467,31.8,R/C Ward,Maharashtra,1,7/6/2022,7/6/2022,low,RCS Road Number 6,highway/residential,Charkop Sector 6,2022,4/13/2022,Charkop Sector 6
Sindhi Society Chembur,Mumbai,south,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,3.05,blue,4.46,yes,no,False,Chembur,0.54,3-6km,6.0,VNP & RC Marg Junction,0.58,5.16,29.0,82.0,8.0,19.0508747,72.8890543,13.68,M/W Ward,Maharashtra,1,7/6/2022,7/6/2022,high,Sindhi Society,place/neighbourhood,Chembur Heights Sindhi Society Chembur,2022,4/13/2022,"Chembur Heights, Sindhi Society Chembur"
Chikuwadi,Mumbai,east,under_construction,Ghatkopar L1,yes,Godrej One Vikhroli,4.79,blue,3.62,yes,no,False,Mankhurd,1.4,3-6km,4.0,Mankhurd,1.52,7.75,18.0,26.0,7.0,19.0617883,72.9302663,16.93,M/E Ward,Maharashtra,1,7/9/2022,7/9/2022,high,Chikalwadi,place/neighbourhood,Chikuwadi,2022,4/13/2022,Chikuwadi
Chinmay Gaurang Infrastructure Old Panvel,Mumbai,unknown,unknown,unknown,unknown,unknown,,unknown,,unknown,unknown,,unknown,,unknown,,unknown,,,,,,,,,,,1,6/27/2022,6/27/2022,none,,,,2022,4/13/2022,Chinmay Gaurang Infrastructure Old Panvel
Chirag Nagar,Mumbai,east,operational,Jagruti Nagar,yes,Hiranandani Business Park Powai,2.66,blue,0.53,yes,yes,True,Jagruti Nagar,0.53,0-3km,13.0,Ghatkopar,0.8,4.02,18.0,89.0,14.0,19.0878678,72.9010736,17.96,N Ward,Maharashtra,1,5/11/2022,5/11/2022,medium,Chirag Nagar Police Colony,landuse/residential,Chirag Nagar,2022,4/13/2022,Chirag Nagar
Collector Colony,Mumbai,south,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,3.82,blue,5.13,yes,no,False,Chembur,1.21,3-6km,4.0,Fertilizer Township,0.19,6.04,17.0,52.0,9.0,19.0432474,72.8918081,13.04,M/W Ward,Maharashtra,2,5/14/2022,6/30/2022,high,Collector Colony,place/neighbourhood,Collector Colony,2022,4/13/2022,Collector Colony
Film City Road,Mumbai,east,none,Aarey,yes,Nirlon Knowledge Park,3.9,red,3.54,no,no,True,Aarey JVLR,3.15,3-6km,7.0,Ram Mandir,4.3,8.1,4.0,11.0,0.0,19.1582019,72.8903556,25.07,P/N Ward,Maharashtra,1,5/31/2022,5/31/2022,low,Dadasaheb Phalke Chitranagari,amenity/studio,Film City Road,2022,4/13/2022,"Conwood Astoria, Film City Road"
Cuffe Parade,Mumbai,south,under_construction,Ghatkopar L1,yes,Nariman Point CBD,1.35,blue,21.19,yes,no,False,Cuffe Parade,0.31,0-3km,0.0,Churchgate,2.36,19.93,20.0,15.0,7.0,18.9157866,72.8189036,3.09,A Ward,Maharashtra,1,5/25/2022,5/25/2022,high,Cuffe Parade,place/neighbourhood,Cuffe Parade,2022,4/13/2022,Cuffe Parade
D.N. Nagar,Mumbai,west,operational,D. N. Nagar,yes,SEEPZ Andheri East,2.87,blue,0.0,yes,yes,True,D. N. Nagar,0.0,0-3km,14.0,Andheri,1.95,5.46,32.0,86.0,18.0,19.1282826,72.8302354,21.08,K/W Ward,Maharashtra,2,4/29/2022,7/3/2022,medium,D.N. Nagar,railway/station,D.N. Nagar,2022,4/13/2022,D.N. Nagar
Dadar West,Mumbai,south,under_construction,Asalpha,yes,Lower Parel Business District,2.47,blue,10.03,yes,no,False,Dadar,0.11,0-3km,6.0,Dadar,0.71,7.81,71.0,75.0,9.0,19.0238887,72.8382236,9.47,G/N Ward,Maharashtra,1,7/5/2022,7/5/2022,high,Dadar West,place/suburb,Dadar West,2022,4/13/2022,Dadar West
Dahisar East,Mumbai,north,operational,Dahisar (East) [Line 7],no,Mindspace Malad,7.58,yellow,0.35,yes,yes,True,Dahisar (East) [Line 7],0.35,6km+,0.0,Dahisar,0.47,17.63,8.0,56.0,5.0,19.2486925,72.8640593,34.59,R/N Ward,Maharashtra,3,6/8/2022,6/27/2022,high,Dahisar East,place/suburb,Dahisar East,2022,4/13/2022,Dahisar East
Dahisar West,Mumbai,north,operational,Mandapeshwar - I.C. Colony,no,Mindspace Malad,7.32,yellow,0.76,yes,yes,True,Mandapeshwar - I.C. Colony,0.76,6km+,0.0,Dahisar,0.7,17.68,8.0,61.0,3.0,19.248875,72.852959,34.53,R/N Ward,Maharashtra,1,5/31/2022,5/31/2022,high,Dahisar West,place/suburb,Dahisar West,2022,4/13/2022,Dahisar West
darshan ricco Tower,Mumbai,east,none,Magathane,yes,Wagle Estate Thane,1.26,red,10.27,no,no,True,Azad Nagar Bus Stop,4.98,0-3km,5.0,Thane,1.98,16.08,20.0,122.0,15.0,19.1995926,72.9629415,31.95,Panch Pakadi,Maharashtra,1,5/27/2022,5/27/2022,low,,historic/monument,darshan ricco Tower,2022,4/13/2022,darshan ricco Tower
Datta Pada,Mumbai,north,none,Kandarpada,no,Mindspace Malad,28.7,yellow,20.76,no,no,True,Kashigaon,19.16,6km+,0.0,Virar,1.99,39.3,0.0,20.0,0.0,19.441645,72.8240682,55.93,Virar East,Maharashtra,1,7/7/2022,7/7/2022,low,Datta Mandir,amenity/place_of_worship,Datta Pada,2022,4/13/2022,Datta Pada
Dattani Park,Mumbai,north,operational,Magathane,yes,Mindspace Malad,4.51,red,0.57,yes,yes,True,Magathane,0.57,3-6km,0.0,Borivali,2.24,13.72,6.0,32.0,9.0,19.2133591,72.870794,30.76,R/S Ward,Maharashtra,1,7/7/2022,7/7/2022,high,Dattani Park,place/neighbourhood,Dattani Park,2022,4/13/2022,Dattani Park
Gokuldham,Mumbai,north,operational,Aarey,yes,Nirlon Knowledge Park,2.56,red,1.01,yes,yes,True,Aarey,1.01,0-3km,3.0,Goregaon,2.1,9.32,13.0,51.0,5.0,19.1738527,72.8670935,26.35,P/S Ward,Maharashtra,4,5/18/2022,7/9/2022,high,Gokuldham,place/neighbourhood,Gokuldham,2022,4/13/2022,"DB Woods, Gokuldham"
Nalasopara,Mumbai,north,none,Kandarpada,no,Mindspace Malad,26.38,yellow,18.49,no,no,True,Kashigaon,17.1,6km+,0.0,Nalla Sopara,0.29,37.0,4.0,42.0,6.0,19.4203577,72.8194857,53.57,Vasai-Virar,Maharashtra,1,5/25/2022,5/25/2022,low,Nala Sopara,place/borough,Nalasopara,2022,4/13/2022,"Deep Heights, Nalasopara"
Deonar,Mumbai,east,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,4.68,blue,4.36,yes,no,False,Shivaji Chowk (Chembur),0.19,3-6km,5.0,VNP & RC Marg Junction,1.28,6.49,36.0,79.0,15.0,19.0475502,72.9051895,14.14,M/W Ward,Maharashtra,1,5/31/2022,5/31/2022,high,Deonar,place/suburb,Deonar,2022,4/13/2022,Deonar
Devi Pada,Mumbai,unknown,unknown,unknown,unknown,unknown,,unknown,,unknown,unknown,,unknown,,unknown,,unknown,,,,,,,,,,,1,5/19/2022,5/19/2022,none,,,,2022,4/13/2022,Devi Pada
Dhanukar Wadi,Mumbai,north,operational,Dahanukarwadi,yes,Mindspace Malad,2.6,yellow,0.35,yes,yes,True,Dahanukarwadi,0.35,0-3km,1.0,Kandivali,1.48,13.28,26.0,87.0,10.0,19.207197,72.837984,29.85,R/S Ward,Maharashtra,1,5/25/2022,5/25/2022,low,Dhanukar Wadi Dispensary,amenity/clinic,Dhanukar Wadi,2022,4/13/2022,Dhanukar Wadi
Bandra Kurla Complex,Mumbai,south,under_construction,Asalpha,yes,Bandra Kurla Complex,0.0,blue,4.47,yes,no,False,Bandra Kurla Complex (BKC),1.36,0-3km,11.0,Kurla,1.44,2.58,18.0,42.0,5.0,19.067115,72.8657245,14.62,H/E Ward,Maharashtra,1,7/6/2022,7/6/2022,high,Bandra Kurla Complex,place/suburb,Bandra Kurla Complex,2022,4/13/2022,"Dheeraj Insignia Apartment, Bandra Kurla Complex"
Sunder Nagar,Mumbai,north,operational,Aarey,yes,Mindspace Malad,1.19,red,1.94,yes,yes,True,Lower Malad,0.45,0-3km,5.0,Goregaon,1.31,9.53,14.0,71.0,13.0,19.1732766,72.8407686,26.08,P/S Ward,Maharashtra,1,7/7/2022,7/7/2022,high,Sunder Nagar,place/locality,Sunder Nagar,2022,4/13/2022,"Dheeraj Kiran CHS Walad West, Sunder Nagar"
Pali Hill,Mumbai,west,under_construction,Western Express Highway,yes,Bandra Kurla Complex,4.07,blue,6.45,yes,no,False,Bandra Colony,2.41,3-6km,6.0,Khar Road,1.42,4.7,38.0,48.0,7.0,19.0649126,72.8270326,14.05,H/W Ward,Maharashtra,1,7/6/2022,7/6/2022,high,Pali Hill,place/neighbourhood,Pali Hill,2022,4/13/2022,"Dheeraj Swapna Apartment, Pali Hill"
Dina Bama Estate,Mumbai,east,none,Jagruti Nagar,yes,Godrej One Vikhroli,4.02,blue,6.45,no,no,True,Aarey JVLR,5.64,3-6km,6.0,Bhandup,0.3,9.57,15.0,39.0,2.0,19.1401586,72.9370703,24.81,S Ward,Maharashtra,1,5/27/2022,5/27/2022,high,Dina Bama Estate,place/locality,Dina Bama Estate,2022,4/13/2022,Dina Bama Estate
Wadala East,Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,2.97,blue,9.65,yes,no,False,Dadar,1.88,0-3km,3.0,Dadar East,0.3,8.3,60.0,64.0,7.0,19.0158783,72.8550732,8.82,F/N Ward,Maharashtra,1,6/9/2022,6/9/2022,high,Wadala Village,place/neighbourhood,Wadala East,2022,4/13/2022,"Dosti Ambrosia, Wadala East"
Sewri,Mumbai,south,none,Ghatkopar L1,yes,Lower Parel Business District,2.52,blue,11.04,no,no,True,Dadar,2.93,0-3km,3.0,Sewri,0.29,9.91,23.0,36.0,0.0,19.001418,72.8542575,7.24,F/S Ward,Maharashtra,1,6/29/2022,6/29/2022,high,Sewri,place/suburb,Sewri,2022,4/13/2022,"Dosti Flamingo, Sewri"
Dr Babasaheb Ambedkar Road,Mumbai,south,under_construction,Asalpha,yes,Bandra Kurla Complex,1.4,blue,5.34,yes,no,False,Bandra Kurla Complex (BKC),1.65,0-3km,7.0,Chuna Bhatti,0.36,3.96,18.0,39.0,3.0,19.054999,72.8692035,13.4,,Maharashtra,1,6/23/2022,6/23/2022,medium,Mumbai,place/city,Mumbai,2022,4/13/2022,"Dr Babasaheb Ambedkar Road, Mumbai"
Ekta Nagar,Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,4.2,blue,14.87,yes,no,False,Mahalaxmi,2.36,3-6km,1.0,Dockyard Road,0.06,13.78,20.0,32.0,3.0,18.9674951,72.843985,3.32,E Ward,Maharashtra,1,6/22/2022,6/22/2022,high,Ekta Nagar,place/neighbourhood,Ekta Nagar,2022,4/13/2022,Ekta Nagar
Virar West,Mumbai,north,none,Kandarpada,no,Mindspace Malad,30.18,yellow,22.37,no,no,True,Kashigaon,21.04,6km+,0.0,Virar,0.67,40.83,3.0,37.0,6.0,19.4533576,72.8057966,57.3,Vasai-Virar,Maharashtra,1,6/27/2022,6/27/2022,low,Virar West,place/suburb,Virar West,2022,4/13/2022,"Ekta Parksville, Virar West"
Santacruz West,Mumbai,west,under_construction,Western Express Highway,yes,Bandra Kurla Complex,3.55,blue,4.04,yes,no,False,Santacruz,1.18,3-6km,10.0,Santa Cruz,0.57,2.77,22.0,60.0,9.0,19.0844004,72.8372899,16.19,H/W Ward,Maharashtra,1,7/9/2022,7/9/2022,high,Santacruz West,place/suburb,Santacruz West,2022,4/13/2022,"Ekta Trinity, Santacruz West"
Sion East,Mumbai,south,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,2.7,blue,6.63,yes,no,False,Dharavi,1.69,0-3km,6.0,Sion,0.47,5.27,35.0,42.0,3.0,19.0428153,72.8653563,11.99,F/N Ward,Maharashtra,1,6/13/2022,6/13/2022,high,Sion East,place/suburb,Sion East,2022,4/13/2022,"Everard Nagar Co Operative Housing Society, Sion East"
Evershine Nagar,Mumbai,north,operational,Dahanukarwadi,yes,Mindspace Malad,1.17,yellow,1.73,yes,yes,True,Valnai-Meeth Chowky,0.68,0-3km,3.0,Malad,1.74,11.63,26.0,82.0,11.0,19.1907836,72.8326337,28.02,P/N Ward,Maharashtra,1,7/7/2022,7/7/2022,low,Evershine Nagar Road,highway/residential,Evershine Nagar,2022,4/13/2022,Evershine Nagar
Film City,Mumbai,north,none,Aarey,yes,Nirlon Knowledge Park,3.29,red,2.57,no,no,True,Aarey,2.57,3-6km,7.0,Goregaon,3.49,8.57,9.0,24.0,0.0,19.1649188,72.8827878,25.63,P/N Ward,Maharashtra,2,6/13/2022,6/13/2022,low,Film City Ground,leisure/park,Film City,2022,4/13/2022,Film City
Friends Colony,Mumbai,east,none,Asalpha,yes,Bandra Kurla Complex,2.08,blue,2.51,no,no,True,Asalpha,2.51,0-3km,12.0,Lokmanya Tilak Terminus,1.33,2.5,17.0,31.0,13.0,19.0772176,72.882388,16.16,L Ward,Maharashtra,1,6/27/2022,6/27/2022,high,Friends Colony,place/locality,Friends Colony,2022,4/13/2022,Friends Colony
Kandarpada,Mumbai,north,operational,Kandarpada,no,Mindspace Malad,7.78,yellow,0.46,yes,yes,True,Kandarpada,0.46,6km+,0.0,Dahisar,0.83,18.15,7.0,40.0,3.0,19.2530859,72.8528338,35.0,R/N Ward,Maharashtra,1,6/17/2022,6/17/2022,high,Kandarpada,place/neighbourhood,Kandarpada,2022,4/13/2022,"Galassia, Kandarpada"
Gandhi Market,Mumbai,south,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,3.63,blue,7.66,yes,no,False,Dharavi,1.66,3-6km,6.0,King's Circle,0.43,6.15,68.0,55.0,6.0,19.0348858,72.8600112,10.99,F/N Ward,Maharashtra,1,6/12/2022,6/12/2022,medium,Gandhi Market Matunga,highway/bus_stop,Gandhi Market,2022,4/13/2022,Gandhi Market
Khar West,Mumbai,south,under_construction,Western Express Highway,yes,Bandra Kurla Complex,2.94,blue,6.22,yes,no,False,Bandra Colony,1.43,0-3km,7.0,Bandra Terminus,0.33,4.01,46.0,66.0,10.0,19.0626563,72.8381745,13.78,H/W Ward,Maharashtra,1,6/20/2022,6/20/2022,medium,Western Railway Employee Colony Bandra West,landuse/residential,Khar West,2022,4/13/2022,"Ganpat Niketan Apartment, Khar West"
Aarey Milk Colony,Mumbai,north,operational,Aarey,yes,Nirlon Knowledge Park,1.83,red,1.93,yes,yes,True,Goregaon (East),1.54,0-3km,11.0,Ram Mandir,2.23,7.38,14.0,19.0,0.0,19.1561292,72.8707223,24.45,P/S Ward,Maharashtra,1,6/16/2022,6/16/2022,high,Aarey Milk Colony,place/suburb,Aarey Milk Colony,2022,4/13/2022,"Garden View Apartment, Aarey Milk Colony"
Ghatkopar East,Mumbai,east,operational,Ghatkopar L1,yes,Godrej One Vikhroli,2.95,blue,0.58,yes,yes,True,Ghatkopar L1,0.58,0-3km,11.0,Ghatkopar,0.49,5.25,12.0,88.0,6.0,19.0833438,72.9123246,17.99,N Ward,Maharashtra,5,4/29/2022,7/6/2022,high,Ghatkopar East,place/suburb,Ghatkopar East,2022,4/13/2022,Ghatkopar East
Ghatkopar West,Mumbai,east,operational,Jagruti Nagar,yes,Hiranandani Business Park Powai,2.37,blue,0.44,yes,yes,True,Jagruti Nagar,0.44,0-3km,12.0,Ghatkopar,0.59,4.4,14.0,87.0,12.0,19.0897439,72.9048035,18.3,Nityanand Nagar,Maharashtra,6,5/10/2022,6/12/2022,high,Ghatkopar West,place/suburb,Ghatkopar West,2022,4/13/2022,Ghatkopar West
Ghatla,Mumbai,east,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,4.34,blue,3.81,yes,no,False,Diamond Garden,0.25,3-6km,5.0,VNP & RC Marg Junction,1.02,6.01,42.0,85.0,17.0,19.0526325,72.9040237,14.57,M/W Ward,Maharashtra,1,6/10/2022,6/10/2022,high,Ghatla Village,place/neighbourhood,Ghatla,2022,4/13/2022,Ghatla
Vikhroli East,Mumbai,east,none,Ghatkopar L1,yes,Godrej One Vikhroli,1.55,blue,4.46,no,no,True,Ghatkopar L1,4.46,0-3km,7.0,Vikhroli,1.02,8.2,13.0,21.0,4.0,19.1172592,72.9355194,22.46,S Ward,Maharashtra,1,7/9/2022,7/9/2022,high,Vikhroli East,place/suburb,Vikhroli East,2022,4/13/2022,"Godrej Platinum, Vikhroli East"
Pirojshah Nagar,Mumbai,east,operational,Ghatkopar L1,yes,Godrej One Vikhroli,0.65,blue,2.34,yes,yes,True,Ghatkopar L1,2.34,0-3km,10.0,Vikhroli,1.18,6.51,7.0,21.0,5.0,19.1016734,72.9236504,20.35,N Ward,Maharashtra,1,6/27/2022,6/27/2022,high,Pirojsha Godrej Nagar,place/suburb,Pirojshah Nagar,2022,4/13/2022,"Godrej The Trees, Pirojshah Nagar"
Goregaon West,Mumbai,north,operational,Aarey,yes,Nirlon Knowledge Park,1.59,red,1.96,yes,yes,True,Bangur Nagar,0.67,0-3km,6.0,Goregaon,0.89,8.45,17.0,42.0,8.0,19.1633281,72.8411995,24.97,P/S Ward,Maharashtra,12,5/10/2022,6/23/2022,high,Goregaon West,place/suburb,Goregaon West,2022,4/13/2022,Goregaon West
Govandi Station Road,Mumbai,east,under_construction,Ghatkopar L1,yes,Godrej One Vikhroli,5.78,blue,4.26,yes,no,False,Mankhurd,0.59,3-6km,3.0,Mankhurd,0.71,7.92,30.0,33.0,14.0,19.0528478,72.9270997,15.93,M/E Ward,Maharashtra,1,6/10/2022,6/10/2022,low,Lallubhai Police Station,amenity/police,Govandi Station Road,2022,4/13/2022,Govandi Station Road
Grant Road,Mumbai,south,under_construction,Ghatkopar L1,yes,Nariman Point CBD,4.11,blue,16.8,yes,no,False,Grant Road,0.23,3-6km,1.0,Grant Road,0.0,14.94,61.0,78.0,7.0,18.9633549,72.8158261,3.42,D Ward,Maharashtra,1,7/2/2022,7/2/2022,medium,Grant Road,railway/station,Grant Road,2022,4/13/2022,Grant Road
GREEN PARK,Mumbai,west,under_construction,Andheri (West),yes,Nirlon Knowledge Park,2.46,yellow,2.74,yes,no,False,Oshiwara,0.95,0-3km,6.0,Ram Mandir,2.14,7.87,22.0,41.0,15.0,19.15374,72.8300248,23.91,P/S Ward,Maharashtra,1,5/18/2022,5/18/2022,medium,Green Park,landuse/residential,GREEN PARK,2022,4/13/2022,GREEN PARK
Millat Nagar,Mumbai,east,under_construction,Ghatkopar L1,no,Belapur CBD,6.95,blue,17.93,yes,no,False,Sector-34,0.61,6km+,0.0,Taloje Panchanand,1.5,22.69,3.0,7.0,0.0,19.0697227,73.0777093,29.34,Taloja,Maharashtra,1,6/17/2022,6/17/2022,medium,Greenwoods Apartment,landuse/residential,Green Park Apartment,2022,4/13/2022,"Green Park Apartment, Millat Nagar"
Gulmohar Road,Mumbai,south,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,1.87,blue,5.42,yes,no,False,Bandra Kurla Complex (BKC),2.13,0-3km,7.0,Chuna Bhatti,0.35,4.41,23.0,37.0,3.0,19.0514994,72.8724288,13.12,L Ward,Maharashtra,2,5/23/2022,5/23/2022,low,Gulmohar Road,highway/tertiary,Gulmohar Road,2022,4/13/2022,Gulmohar Road
Kurla West,Mumbai,south,under_construction,Asalpha,yes,Bandra Kurla Complex,1.15,blue,3.64,yes,no,False,Chembur,2.34,0-3km,10.0,Kurla,0.46,2.79,18.0,49.0,8.0,19.0686026,72.876583,15.07,L Ward,Maharashtra,1,6/27/2022,6/27/2022,high,Kurla West,place/suburb,Kurla West,2022,4/13/2022,"HDIL Premier Residences, Kurla West"
Chakala MIDC,Mumbai,east,operational,Western Express Highway,yes,SEEPZ Andheri East,0.8,blue,0.57,yes,yes,True,Western Express Highway,0.57,0-3km,16.0,Andheri,1.69,2.8,29.0,68.0,3.0,19.1152873,72.8618085,19.82,K/E Ward,Maharashtra,1,6/17/2022,6/17/2022,high,Chakala,place/neighbourhood,Hillcrest Chakala MIDC,2022,4/13/2022,"Hillcrest, Chakala MIDC"
Hindu Colony,Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,2.63,blue,9.76,yes,no,False,Dadar,0.97,0-3km,5.0,Dadar,0.51,7.96,85.0,96.0,10.0,19.0200578,72.8475907,9.13,F/N Ward,Maharashtra,1,7/9/2022,7/9/2022,high,Dadar Hindu Colony,place/neighbourhood,Hindu Colony,2022,4/13/2022,Hindu Colony
Mira Road East,Mumbai,north,under_construction,Anand Nagar,no,Mindspace Malad,10.98,yellow,2.81,yes,no,False,Kashigaon,2.3,6km+,0.0,Mira Road,0.27,21.27,9.0,41.0,6.0,19.2813896,72.858639,38.17,Mira,Maharashtra,1,5/26/2022,5/26/2022,medium,Mira Road Station East,highway/bus_stop,Mira Road East,2022,4/13/2022,"Hiral Greens, Mira Road East"
Hiranandani Gardens,Mumbai,east,none,Saki Naka,yes,Hiranandani Business Park Powai,0.91,blue,2.97,no,no,True,Saki Naka,2.97,0-3km,15.0,Vikhroli,1.9,5.99,38.0,14.0,23.0,19.1183882,72.911464,21.51,S Ward,Maharashtra,2,6/12/2022,6/12/2022,high,Hiranandani Gardens,place/neighbourhood,Hiranandani Gardens,2022,4/13/2022,"Hiranandani Atlantis, Hiranandani Gardens"
Powai,Mumbai,east,none,Saki Naka,yes,Hiranandani Business Park Powai,0.89,blue,2.65,no,no,True,Saki Naka,2.65,0-3km,16.0,Vikhroli,2.32,5.65,23.0,17.0,20.0,19.1187195,72.9073476,21.39,S Ward,Maharashtra,3,7/9/2022,7/9/2022,high,Powai,place/suburb,Powai,2022,4/13/2022,"Hiranandani Castle Rock, Powai"
IC Colony,Mumbai,north,operational,Mandapeshwar - I.C. Colony,no,Mindspace Malad,7.24,yellow,0.18,yes,yes,True,Mandapeshwar - I.C. Colony,0.18,6km+,0.0,Dahisar,1.29,17.73,10.0,49.0,3.0,19.2488833,72.8473864,34.5,R/N Ward,Maharashtra,1,6/23/2022,6/23/2022,medium,IC Colony sector 8,landuse/residential,IC Colony,2022,4/13/2022,IC Colony
in Andheri West,Mumbai,west,operational,Azad Nagar,yes,SEEPZ Andheri East,2.13,blue,1.14,yes,yes,True,Azad Nagar,1.14,0-3km,13.0,Andheri,1.34,4.28,33.0,91.0,15.0,19.1172495,72.833968,19.84,K/W Ward,Maharashtra,1,6/15/2022,6/15/2022,high,Andheri West,place/suburb,in Andheri West,2022,4/13/2022,in Andheri West
in Borivali East,Mumbai,north,operational,Devipada,yes,Mindspace Malad,5.22,red,0.39,yes,yes,True,Devipada,0.39,3-6km,0.0,Borivali,0.55,15.19,8.0,106.0,14.0,19.2267228,72.8619328,32.14,R/C Ward,Maharashtra,1,7/7/2022,7/7/2022,high,Borivali East,place/suburb,in Borivali East,2022,4/13/2022,in Borivali East
in Borivali West,Mumbai,north,operational,Borivali (West),yes,Mindspace Malad,5.27,yellow,0.0,yes,yes,True,Borivali (West),0.0,3-6km,0.0,Borivali,1.75,15.87,20.0,80.0,14.0,19.2313925,72.8408607,32.54,R/C Ward,Maharashtra,1,5/27/2022,5/27/2022,medium,Borivali (West),railway/station,in Borivali West,2022,4/13/2022,in Borivali West
in Byculla,Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,3.11,blue,14.98,yes,no,False,Mahalaxmi,0.57,3-6km,1.0,Byculla,0.51,13.3,51.0,61.0,5.0,18.9750879,72.8282502,4.1,E Ward,Maharashtra,1,4/29/2022,4/29/2022,high,Byculla West,place/suburb,in Byculla,2022,4/13/2022,in Byculla
