listing_id,Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
L00439,2022-05-26,1,5000,400,3 out of 5,Carpet Area,Hooghly-Chinsurah,Kolkata,Unfurnished,Bachelors,1,Contact Owner
L00440,2022-07-03,1,5000,450,1 out of 1,Carpet Area,"Bansdroni Mauza, Krishnanagar",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00441,2022-05-13,2,6500,550,Ground out of 1,Super Area,Kaikhali,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
L00442,2022-05-30,2,8000,600,1 out of 2,Carpet Area,700051,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00443,2022-06-26,1,5500,200,1 out of 3,Super Area,Jodhpur Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00444,2022-05-10,2,6000,500,1 out of 2,Carpet Area,Purba Sinthi Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00445,2022-06-19,1,5500,450,Ground out of 3,Carpet Area,Kadam Tala,Kolkata,Unfurnished,Bachelors,1,Contact Owner
L00446,2022-05-14,2,10000,1050,Ground out of 1,Super Area,Baidyabati,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00447,2022-04-26,3,10000,1000,2 out of 5,Carpet Area,Bansdroni,Kolkata,Unfurnished,Bachelors,2,Contact Owner
L00448,2022-06-01,2,10000,1200,Ground out of 3,Super Area,Sodepur,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
L00449,2022-07-02,3,12000,1100,1 out of 1,Super Area,Jagacha,Kolkata,Semi-Furnished,Family,2,Contact Owner
L00450,2022-06-05,1,5200,220,Ground out of 2,Super Area,New Town,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00451,2022-06-20,1,4000,350,1 out of 1,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00452,2022-04-26,3,30000,1100,Ground out of 3,Carpet Area,FC Block,Kolkata,Unfurnished,Bachelors,1,Contact Owner
L00453,2022-05-17,2,5146,800,Ground out of 2,Super Area,Sodepur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00454,2022-06-01,2,12000,950,Ground out of 2,Super Area,"Satgachi, South Dum Dum",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00455,2022-06-24,3,7000,1200,Ground out of 3,Super Area,Hooghly-Chinsurah,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00456,2022-05-15,2,8500,700,Ground out of 2,Super Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00457,2022-06-24,1,7000,500,1 out of 3,Super Area,"AH Block, Salt Lake",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00458,2022-06-23,2,9500,570,Ground out of 3,Super Area,"Dhakuria -South East, Dhakuria",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00459,2022-04-30,2,8000,650,2 out of 3,Super Area,Baghajatin,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00460,2022-05-22,3,15000,1200,1 out of 2,Super Area,Tollygunge,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner
L00461,2022-06-08,5,22500,960,Ground out of 1,Super Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00462,2022-05-12,2,12500,1250,1 out of 2,Super Area,Rajarhat,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
L00463,2022-05-30,3,34000,120,2 out of 5,Super Area,CA 150 sector 1 saltlake,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
L00464,2022-05-28,3,14000,950,1 out of 2,Carpet Area,Kaikhali,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
L00465,2022-06-03,1,9500,600,1 out of 2,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
L00466,2022-05-10,2,7000,750,2 out of 2,Super Area,Baughati,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00467,2022-06-13,3,20000,1200,3 out of 3,Super Area,Bansdroni,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00468,2022-07-03,1,6500,400,Ground out of 2,Carpet Area,Salt Lake City Sector 5,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent
L00469,2022-04-29,1,7500,600,Ground out of 2,Carpet Area,Garfa,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
L00470,2022-05-10,2,6500,700,Ground out of 2,Super Area,Dum Dum,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00471,2022-06-14,2,9500,850,Ground out of 3,Super Area,Baguiati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00472,2022-05-12,1,1800,500,Ground out of 1,Super Area,Shyam Bazar,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00473,2022-06-25,2,7500,650,Ground out of 2,Carpet Area,Baghajatin,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00474,2022-06-17,2,10000,800,Ground out of 3,Super Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
L00475,2022-06-17,3,15000,830,3 out of 4,Super Area,Dum Dum,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00476,2022-07-06,2,7000,600,Ground out of 2,Super Area,Keshtopur,Kolkata,Unfurnished,Bachelors,1,Contact Agent
L00477,2022-04-27,2,6000,800,1 out of 2,Super Area,"Chandannagar, Hooghly-Chinsurah",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00478,2022-06-02,2,14000,1200,Ground out of 1,Super Area,"Sakuntala Park, Behala",Kolkata,Semi-Furnished,Family,2,Contact Owner
L00479,2022-06-03,2,22000,1000,Ground out of 2,Super Area,Jheel Road,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
L00480,2022-06-29,2,18000,750,Ground out of 2,Carpet Area,Salt Lake City Sector 1,Kolkata,Unfurnished,Bachelors/Family,2,Contact Agent
L00481,2022-06-26,2,10000,800,Ground out of 3,Carpet Area,Garia,Kolkata,Unfurnished,Bachelors,2,Contact Owner
L00482,2022-06-10,2,6000,1200,Ground out of 3,Super Area,Madhyam Gram,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00483,2022-05-11,2,10000,750,4 out of 4,Carpet Area,"Kumarpara, Narendrapur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00484,2022-06-10,3,10000,1500,11 out of 19,Super Area,Santoshpur,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
L00485,2022-05-08,1,5000,300,1 out of 3,Super Area,"Noapara, Addarsha Pally",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00486,2022-05-17,3,10000,800,Ground out of 2,Carpet Area,"Arobindo Pally, Paschim Putiary",Kolkata,Unfurnished,Bachelors,1,Contact Owner
L00487,2022-06-10,2,7000,450,Ground out of 2,Super Area,Dum Dum,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00488,2022-06-24,4,10000,1200,5 out of 10,Super Area,Naihati,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
L00489,2022-06-10,2,6000,500,11 out of 14,Super Area,Howrah,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
L00490,2022-06-26,2,18000,900,Ground out of 1,Carpet Area,Garia,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
L00491,2022-06-30,2,8000,460,Ground out of 2,Carpet Area,Majarhati,Kolkata,Unfurnished,Bachelors,1,Contact Owner
L00492,2022-06-22,2,8000,530,2 out of 3,Super Area,Baghajatin,Kolkata,Semi-Furnished,Family,1,Contact Owner
L00493,2022-06-15,2,13000,650,Ground out of 4,Carpet Area,Lake Gardens,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
L00494,2022-05-08,2,20000,700,Ground out of 1,Carpet Area,Salt Lake City Sector 2,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
L00495,2022-06-17,2,6000,400,2 out of 3,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00496,2022-06-27,2,12000,1000,Ground out of 2,Super Area,"Picnic Garden, Tiljala",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00497,2022-06-04,1,10000,400,Ground out of 2,Carpet Area,"New Garia, Garia",Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
L00498,2022-05-10,2,14000,700,Ground out of 3,Carpet Area,Santoshpur,Kolkata,Unfurnished,Bachelors,2,Contact Owner
L00499,2022-07-03,2,10000,850,1 out of 4,Carpet Area,Baranagar,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
L00500,2022-06-21,2,10500,558,3 out of 3,Carpet Area,Tollygunge,Kolkata,Unfurnished,Bachelors/Family,2,Contact Agent
L00501,2022-06-08,2,6000,800,3 out of 4,Super Area,Thakurpukur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00502,2022-06-10,2,12000,900,1 out of 2,Carpet Area,"Bansdroni Mauza, Krishnanagar",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00503,2022-06-27,3,14000,1600,1 out of 3,Super Area,Ramrajatala,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
L00504,2022-06-14,1,3700,150,1 out of 5,Carpet Area,Lake Gardens,Kolkata,Unfurnished,Bachelors,1,Contact Owner
L00505,2022-06-06,3,40000,1600,Ground out of 3,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors,2,Contact Agent
L00506,2022-05-20,3,25000,1000,2 out of 4,Super Area,Rash Behari Avenue Connector,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00507,2022-06-20,1,2200,700,1 out of 3,Super Area,Baranagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00508,2022-04-28,1,3300,175,Ground out of 2,Super Area,New Town,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00509,2022-05-12,1,5000,450,Ground out of 1,Super Area,"Siriti, Tollygunge",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00510,2022-06-02,3,60000,1700,1 out of 3,Carpet Area,Salt Lake City,Kolkata,Semi-Furnished,Bachelors,3,Contact Agent
L00511,2022-06-09,2,6000,425,2 out of 3,Carpet Area,Nimta,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00512,2022-05-17,3,7000,900,1 out of 2,Super Area,"Michael Nagar, New Barrakpur",Kolkata,Semi-Furnished,Bachelors/Family,3,Contact Owner
L00513,2022-05-28,1,5000,400,4 out of 4,Carpet Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
L00514,2022-07-03,2,11000,600,Ground out of 2,Super Area,Beliaghata,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
L00515,2022-06-28,2,10000,721,3 out of 4,Super Area,Belgharia Nimta,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
L00516,2022-07-06,3,22000,1150,1 out of 2,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors/Family,2,Contact Agent
L00517,2022-06-05,3,65000,2210,Ground out of 2,Carpet Area,"Vedic Village, Rajarhat",Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner
L00518,2022-04-29,2,7500,675,Ground out of 2,Super Area,Dum Dum,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00519,2022-06-08,2,45000,1320,Lower Basement out of 2,Super Area,Ballygunge,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
L00520,2022-06-19,1,5000,250,Ground out of 2,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
L00521,2022-05-11,2,12000,720,Ground out of 1,Super Area,Shyam Bazar,Kolkata,Unfurnished,Bachelors,2,Contact Owner
L00522,2022-05-12,5,25000,1880,2 out of 2,Carpet Area,Dashdrone,Kolkata,Unfurnished,Bachelors,2,Contact Owner
L00523,2022-05-29,3,18000,850,1 out of 1,Carpet Area,"Sangati Colony, Netaji Nagar",Kolkata,Semi-Furnished,Bachelors/Family,3,Contact Owner
L00524,2022-06-29,2,25000,1050,1 out of 1,Carpet Area,"Sahapur, New Alipore",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00525,2022-05-16,1,25000,320,2 out of 7,Super Area,"Shaheen Apartment, Andheri West",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00526,2022-06-14,2,70000,750,4 out of 10,Carpet Area,Santacruz West,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
L00527,2022-05-26,1,45000,450,7 out of 10,Carpet Area,"Rose Queen, Old Khar",Mumbai,Furnished,Bachelors/Family,1,Contact Agent
L00528,2022-05-27,3,75000,1100,2 out of 13,Carpet Area,"Sabari Palm View, Chembur",Mumbai,Unfurnished,Family,3,Contact Agent
L00529,2022-06-07,1,14000,640,6 out of 7,Super Area,Mira Road,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
L00530,2022-06-20,1,60000,650,4 out of 7,Super Area,"Siddhivinayak, Bandra West",Mumbai,Unfurnished,Bachelors,1,Contact Agent
L00531,2022-06-20,2,160000,800,14 out of 14,Carpet Area,parivar safalya chs,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
L00532,2022-07-07,4,300000,1600,43 out of 78,Carpet Area,"Trump Tower, Worli",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent
L00533,2022-06-08,1,22000,460,2 out of 8,Super Area,Sion,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
L00534,2022-07-07,4,130000,1650,13 out of 18,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
L00535,2022-06-02,1,33000,480,2 out of 4,Carpet Area,Sion Hospital Colony,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
L00536,2022-05-27,1,32000,500,1 out of 4,Carpet Area,Sion,Mumbai,Furnished,Bachelors,2,Contact Agent
L00537,2022-07-08,1,30000,490,2 out of 4,Carpet Area,"Sion East, Sion",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
L00538,2022-06-12,1,49000,620,2 out of 3,Super Area,"Sai Palace Apartment, Vile Parle West",Mumbai,Furnished,Bachelors/Family,1,Contact Owner
L00539,2022-05-10,2,28000,518,5 out of 12,Carpet Area,Bhandup West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
L00540,2022-05-13,2,33500,700,4 out of 7,Carpet Area,"Yogi Hills, Mulund West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
L00541,2022-07-09,2,85000,777,18 out of 24,Carpet Area,"Hiranandani Castle Rock, Powai",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
L00542,2022-07-06,2,35000,650,6 out of 7,Carpet Area,Charkop,Mumbai,Unfurnished,Family,2,Contact Agent
L00543,2022-06-21,3,270000,1800,3 out of 7,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
L00544,2022-07-04,5,400000,2308,17 out of 31,Carpet Area,"Runwal Elegante, Andheri West",Mumbai,Furnished,Family,5,Contact Agent
L00545,2022-07-09,1,21000,425,11 out of 21,Carpet Area,"Godrej Tranquil, Kandivali East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
L00546,2022-05-25,2,150000,890,7 out of 19,Carpet Area,Cuffe Parade,Mumbai,Unfurnished,Bachelors,2,Contact Owner
L00547,2022-06-05,1,22000,270,14 out of 23,Super Area,Mahim West,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
L00548,2022-07-01,2,100000,850,4 out of 7,Carpet Area,Prabhadevi,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
L00549,2022-07-09,2,60000,888,9 out of 20,Carpet Area,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
L00550,2022-06-02,2,8000,650,Upper Basement out of 9,Carpet Area,"Nakoda Heights, Nalasopara",Mumbai,Semi-Furnished,Family,2,Contact Agent
L00551,2022-06-27,1,20000,275,19 out of 24,Carpet Area,Worli,Mumbai,Unfurnished,Bachelors,1,Contact Agent
L00552,2022-06-14,2,20000,700,3 out of 21,Carpet Area,"Man Opus, Kashimira",Mumbai,Semi-Furnished,Family,2,Contact Agent
L00553,2022-06-20,1,25000,375,1 out of 22,Super Area,Lal Baug,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
L00554,2022-05-14,1,14000,424,3 out of 7,Super Area,Malad East,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00555,2022-06-04,1,19411,400,8 out of 8,Super Area,Goregaon West,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
L00556,2022-06-11,1,23000,450,6 out of 12,Carpet Area,"Dheeraj Hill View Tower, Thakur Village, Kandivali East",Mumbai,Furnished,Bachelors/Family,1,Contact Agent
L00557,2022-07-09,4,190000,2079,4 out of 58,Carpet Area,"Bombay Dyeing Two ICC, Dadar East",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent
L00558,2022-06-13,2,32000,586,Ground out of 4,Super Area,"Everard Nagar Co Operative Housing Society, Sion East",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00559,2022-05-04,2,68000,610,1 out of 5,Carpet Area,shivsagar,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
L00560,2022-05-22,1,30000,488,Upper Basement out of 16,Carpet Area,"Kyraa Ariso Apartment, Chembur",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
L00561,2022-05-31,3,110000,1200,60 out of 66,Carpet Area,"Lodha Azzuro , Parel",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
L00562,2022-07-09,2,44000,722,34 out of 48,Carpet Area,"Sheth Montana, Mulund West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
L00563,2022-05-25,1,20000,450,5 out of 8,Carpet Area,"Gokul Regency Apartment, Thakur Complex",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
L00564,2022-06-12,1,25000,500,2 out of 8,Super Area,Ghatkopar West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
L00565,2022-07-09,2,40000,680,5 out of 14,Carpet Area,"NG Royal Park, Kanjurmarg East",Mumbai,Furnished,Bachelors,2,Contact Agent
L00566,2022-07-09,2,43000,1150,14 out of 40,Carpet Area,"Montana Giona, Moti Nagar",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
L00567,2022-06-22,2,44000,830,2 out of 2,Carpet Area,"Sapphire Heights, Lokhandwala Twp",Mumbai,Furnished,Bachelors,2,Contact Agent
L00568,2022-05-23,1,75000,550,5 out of 7,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,1,Contact Agent
L00569,2022-05-14,1,32000,470,6 out of 7,Carpet Area,Central Area,Mumbai,Semi-Furnished,Family,2,Contact Agent
L00570,2022-07-07,1,16000,410,9 out of 22,Carpet Area,Mira Bhayandar,Mumbai,Semi-Furnished,Family,2,Contact Agent
L00571,2022-07-07,2,65000,710,11 out of 14,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
L00572,2022-05-27,2,45000,750,12 out of 18,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
L00573,2022-06-12,2,57000,800,6 out of 7,Carpet Area,Chembur,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
L00574,2022-07-01,1,27000,435,3 out of 7,Carpet Area,Film City Road,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
L00575,2022-05-30,1,57000,500,26 out of 44,Carpet Area,"Lodha New Cuffe Parade, Wadala",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
L00576,2022-06-20,2,55000,800,1 out of 8,Carpet Area,"Evershine Grandeur, Mindspace",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
L00577,2022-06-15,1,40000,540,2 out of 4,Carpet Area,Vile Parle East,Mumbai,Semi-Furnished,Family,2,Contact Agent
L00578,2022-07-07,2,95000,1050,25 out of 42,Carpet Area,"Lodha New Cuffe Parade, Wadala East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
L00579,2022-06-30,2,85000,700,25 out of 41,Carpet Area,"Lodha New Cuffe Parade, Wadala",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
L00580,2022-06-25,4,300000,1600,53 out of 78,Carpet Area,"Trump Tower, Worli",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
L00581,2022-06-29,2,80000,600,2 out of 5,Carpet Area,Breach Candy,Mumbai,Furnished,Bachelors/Family,1,Contact Agent
L00582,2022-06-23,1,13000,300,Ground out of 7,Super Area,Malad West,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
L00583,2022-05-15,1,28000,550,3 out of 4,Carpet Area,"Ambika Siddhi Apartment, Ghatkopar",Mumbai,Unfurnished,Bachelors,2,Contact Owner
L00584,2022-07-06,3,89000,932,14 out of 20,Carpet Area,Powai,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
L00585,2022-05-27,1,28000,450,13 out of 20,Carpet Area,Dina Bama Estate,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
L00586,2022-05-16,2,13000,600,2 out of 4,Carpet Area,Mira Road,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
L00587,2022-07-04,1,24000,424,16 out of 23,Carpet Area,"Sethia Kalpavruksh Heights, Irani Wada",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
L00588,2022-07-06,2,38000,560,Ground out of 3,Carpet Area,Andheri East,Mumbai,Furnished,Bachelors,2,Contact Owner
L00589,2022-06-04,1,32000,450,10 out of 18,Carpet Area,Goregaon West,Mumbai,Unfurnished,Bachelors,2,Contact Agent
L00590,2022-05-14,4,350000,3000,39 out of 60,Carpet Area,"Lodha World Crest, Lower Parel",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent
L00591,2022-06-06,1,40000,600,3 out of 7,Carpet Area,Lokhandwala Complex,Mumbai,Furnished,Family,2,Contact Agent
L00592,2022-05-27,3,150000,1400,16 out of 21,Carpet Area,darshan ricco Tower,Mumbai,Furnished,Bachelors,3,Contact Agent
L00593,2022-07-09,2,45000,630,10 out of 32,Carpet Area,Kanjurmarg West,Mumbai,Unfurnished,Bachelors,2,Contact Agent
L00594,2022-07-02,3,170000,1400,4 out of 8,Carpet Area,Khar West,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
L00595,2022-05-31,1,30000,320,12 out of 24,Super Area,Worli,Mumbai,Furnished,Family,1,Contact Owner
L00596,2022-06-24,2,210000,1000,4 out of 8,Carpet Area,Bandra West,Mumbai,Unfurnished,Bachelors,2,Contact Agent
L00597,2022-07-06,3,75000,1150,32 out of 41,Carpet Area,"Kanakia Levels, Malad East",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
L00598,2022-07-09,2,47000,751,3 out of 30,Carpet Area,"Kalpataru Towers, Akurli Nagar",Mumbai,Semi-Furnished,Family,2,Contact Agent
L00599,2022-06-20,2,14000,570,4 out of 7,Carpet Area,"Kailash Tower, Nalasopara",Mumbai,Furnished,Family,2,Contact Agent
L00600,2022-07-06,2,55000,696,13 out of 21,Carpet Area,Chandivali,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
L00601,2022-07-09,4,120000,1600,9 out of 29,Carpet Area,"Anant Bhoomi, Mahavir Nagar",Mumbai,Unfurnished,Family,4,Contact Agent
L00602,2022-07-06,3,300000,2500,47 out of 89,Carpet Area,"India Bulls Sky Forest, Lower Parel",Mumbai,Semi-Furnished,Bachelors,3,Contact Agent
L00603,2022-07-06,3,70000,1150,7 out of 41,Carpet Area,"Kanakia Levels, Malad East",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
L00604,2022-06-03,3,150000,1500,7 out of 10,Carpet Area,"Almeida Park, Turner Road",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
L00605,2022-06-16,3,62000,950,6 out of 7,Carpet Area,Bhakti Park,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
L00606,2022-05-18,2,42000,750,11 out of 21,Carpet Area,"RNA ROYALE PARK, Kandivali West",Mumbai,Unfurnished,Bachelors,2,Contact Agent
L00607,2022-05-23,2,130000,715,5 out of 10,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
L00608,2022-05-14,3,170000,1337,28 out of 30,Carpet Area,"Oberoi Splendor Grande, Agarkar Chowk",Mumbai,Furnished,Bachelors/Family,3,Contact Agent
L00609,2022-06-27,3,20000,737,13 out of 15,Carpet Area,"Ekta Parksville, Virar West",Mumbai,Semi-Furnished,Bachelors,3,Contact Agent
L00610,2022-05-18,2,41000,750,6 out of 21,Carpet Area,"RNA ROYALE PARK, Kandivali West",Mumbai,Unfurnished,Bachelors,2,Contact Agent
L00611,2022-06-03,2,65000,760,4 out of 7,Carpet Area,Prabhadevi,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
L00612,2022-06-17,2,50000,750,8 out of 16,Carpet Area,"Green Park Apartment, Millat Nagar",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
L00613,2022-07-01,2,85000,650,2 out of 6,Carpet Area,Breach Candy,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
L00614,2022-05-31,2,50000,1000,4 out of 7,Super Area,Ghatkopar East,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
L00615,2022-04-28,1,30000,570,Ground out of 3,Carpet Area,Kurla West,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
L00616,2022-07-04,2,120000,900,5 out of 19,Carpet Area,"Beach Towers, Prabhadevi",Mumbai,Semi-Furnished,Family,2,Contact Agent
L00617,2022-07-09,2,60000,760,3 out of 11,Carpet Area,"Kolte Patil Jai Vijay, New Airport Colony",Mumbai,Unfurnished,Family,2,Contact Agent
L00618,2022-07-09,3,110000,1500,17 out of 42,Carpet Area,"Lodha New Cuffe Parade, Bhakti Park",Mumbai,Unfurnished,Bachelors/Family,4,Contact Agent
L00619,2022-07-04,3,84500,1150,10 out of 12,Carpet Area,Chembur East,Mumbai,Unfurnished,Family,3,Contact Agent
L00620,2022-06-20,3,80000,1100,8 out of 28,Carpet Area,"HDIL Metropolis, 4 Bunglows",Mumbai,Semi-Furnished,Family,3,Contact Agent
L00621,2022-05-18,3,50000,1000,9 out of 15,Carpet Area,"Heena Gaurav Jewels, Gokuldham",Mumbai,Furnished,Bachelors/Family,3,Contact Agent
L00622,2022-06-13,2,40000,720,14 out of 22,Carpet Area,shabri shan,Mumbai,Unfurnished,Bachelors,2,Contact Agent
L00623,2022-07-09,1,34000,365,18 out of 40,Carpet Area,Malad East,Mumbai,Furnished,Family,1,Contact Agent
L00624,2022-07-09,4,220000,2000,9 out of 17,Carpet Area,Juhu Tara,Mumbai,Furnished,Bachelors/Family,4,Contact Agent
L00625,2022-07-07,1,25000,400,2 out of 13,Carpet Area,"Mindspace, Mindspace",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
L00626,2022-05-17,3,150000,1330,12 out of 45,Carpet Area,"Oberoi Esquire, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
L00627,2022-06-04,3,85000,850,25 out of 35,Carpet Area,"Oberoi Woods, Goregaon East",Mumbai,Semi-Furnished,Family,3,Contact Agent
